,Date,Open,High,Low,Close,Volume,Slope,Slope20,Z_Score,Z_Score2,Z_Score3,#10%Opps,#5%Opps,Ranking,Ticker
60,2025-03-14,5.909999847412109,5.949999809265137,5.800000190734863,5.869999885559082,271072.0,0.0238006327531755,0.0323308281432417,2.501072904051616,2.366326853593989,2.020325921434589,12,61,0.0,SVM.TO
59,2025-03-14,2.7300000190734863,2.75,2.6600000858306885,2.7100000381469727,86649.0,-0.0014362775226675,-0.0393608993157408,-2.8272463249174526,-3.0372970212792443,-1.710032406735068,4,23,0.0,ECN.TO
58,2025-03-14,17.360000610351562,17.5,17.31999969482422,17.389999389648438,2600.0,-0.0034878343958378,-0.029112828763804,0.0088212180587973,-0.0914623586236667,-0.9897311418778592,0,0,0.0,ADN.TO
57,2025-03-14,13.520000457763672,13.800000190734863,13.5,13.6899995803833,12074.0,-0.0001612129191252,-0.0116650939884042,-0.4748074388164935,-0.7729198812741753,-0.4863150717824464,0,7,0.0,ENS.TO
56,2025-03-14,,,,,,,,,,,0,14,0.0,MPC.TO
79,2025-03-14,5.099999904632568,5.179999828338623,5.079999923706055,5.125,83852.0,-0.007067688503699,-0.1367030093544408,-2.1738006892742243,-2.164971630885677,-2.108647232123746,21,16,0.0,CVO.TO
0,2025-03-14,2.4600000381469727,2.559999942779541,2.434999942779541,2.490000009536743,734988.0,-0.0382823900467879,-0.0852030101575349,-1.92175983290929,-1.997883635691747,-1.845307602437219,12,30,0.0,HIVE.V
54,2025-03-14,61.0,62.16999816894531,60.54999923706055,61.93999862670898,13074.0,0.0526018803362995,0.1336767124950437,1.6758818349785298,1.533078744498923,1.391246870448809,0,31,0.0,CGO.TO
94,2025-03-14,14.899999618530272,14.949999809265137,14.84000015258789,14.90999984741211,5550.0,0.0119224572547335,-0.006383452738138,0.947666124546283,0.7781385509406192,1.0402254770689974,0,0,0.0,ALC.TO
104,2025-03-14,18.309999465942383,18.309999465942383,17.899999618530273,17.979999542236328,41838.0,0.0093347419323207,-0.0029774371842692,-1.287504448871167,0.0064185338983036,0.2519649412069404,0,0,0.0,MKP.TO
103,2025-03-14,6.980000019073486,6.980000019073486,6.769999980926514,6.769999980926514,9146.0,0.005525647389832,-0.0322819580709127,0.079067118326935,0.196729059097075,-0.3272238854642253,6,44,0.0,BLN.TO
