,Date,Open,High,Low,Close,Volume,Slope,Slope20,Z_Score,Z_Score2,Z_Score3,#10%Opps,#5%Opps,TradeCapital,Ranking,Ticker
59,2025-03-19,11.59000015258789,12.024999618530272,11.399999618530272,11.989999771118164,1008538.0,0.031703330977514,0.0908345839134732,2.680413726416166,2.5070201600042283,2.12704076828395,70,74,7578387.41,0.0563275340681312,KNT.TO
64,2025-03-19,6.480000019073486,6.489999771118164,6.329999923706055,6.46999979019165,583222.0,0.0166980423667581,0.0584887124542006,2.581603431119237,2.718805314366591,2.580251699243924,45,87,2215334.47,0.0514050733991507,ARIS.TO
79,2025-03-19,4.78000020980835,4.849999904632568,4.699999809265137,4.829999923706055,1120744.0,0.0126821805282221,0.0449172901927976,2.431545191029607,2.451044547463965,2.194001125386359,47,89,7430781.12,0.0415161771029059,NGD.TO
29,2025-03-19,58.290000915527344,61.25,58.0099983215332,60.650001525878906,226552.0,-0.0242661553296634,-0.2548393565012996,-0.1442065700819511,-0.4663739024726902,-0.3983662568401279,19,90,9477290.3,0.0331171159733475,OVV.TO
51,2025-03-19,9.1899995803833,9.515000343322754,9.18000030517578,9.460000038146973,4114779.0,0.0142662938469493,0.1290220644240989,3.1331368645059263,2.757830302447383,2.420097868945434,71,53,48935785.36000001,0.0328324610915617,VRN.TO
68,2025-03-19,67.18000030517578,71.2300033569336,66.76000213623047,70.41000366210938,610742.0,-0.1655875116728525,-0.3367970201305877,-0.7423685760637716,-1.253441195045354,-1.1891485266449584,18,35,34516742.25,0.0224120422124803,ATRL.TO
91,2025-03-19,40.43999862670898,41.0099983215332,38.86000061035156,40.65999984741211,223903.0,0.0963132098766308,-0.2293459440532483,0.1674555136503469,0.3390301356472875,0.2433738633519312,37,20,20309791.98,0.0219975136210128,FTT.TO
24,2025-03-19,23.0,24.1200008392334,22.65999984741211,23.8700008392334,193992.0,-0.2282666464068787,-0.4900676741635889,-1.8929311934165527,-1.9696416462002573,-1.857002172078493,32,23,4796103.62,0.0192432253299006,PRL.TO
69,2025-03-19,17.600000381469727,18.959999084472656,17.530000686645508,18.540000915527344,2116422.0,-0.3311612873087479,-0.4248270579746792,-1.499619824003226,-1.6139528243493857,-1.507089863103313,59,48,26542160.64,0.0169451261302317,HUT.TO
50,2025-03-19,13.640000343322754,13.699999809265137,13.270000457763672,13.289999961853027,890329.0,0.0194759377974293,0.0213909722808608,3.0633388310206,2.7575140218450933,1.1403830041289014,30,68,10349095.77,0.0097172836501052,AYA.TO
89,2025-03-19,63.93000030517578,65.5999984741211,63.93000030517578,65.29000091552734,191955.0,-0.5021512199494651,-0.7729774503779591,-1.5060301131089473,-1.6209500341224286,-1.5590986128809723,17,24,8323560.94,0.0002637880950503,PD.TO
87,2025-03-19,138.97999572753906,142.6300048828125,138.97999572753906,142.05999755859375,169070.0,0.3077212272656148,-0.4496692514061031,0.8925656659450524,0.656299058229272,0.587808102503836,10,48,29400027.3,0.0002605441597222,RBA.TO
37,2025-03-19,232.3000030517578,233.75999450683597,206.0500030517578,216.77999877929688,142739.0,0.4386378166727261,-0.9812409479815262,-1.4348683406098148,-0.4002824492281558,-0.2614884148132345,10,41,11884529.94,7.837852373656655e-06,BYD.TO
57,2025-03-19,86.19000244140625,87.25,85.37999725341797,87.08999633789062,92571.0,-0.4347646901873545,-1.0598946994408631,-1.687412574678666,-1.7773281617199492,-1.6305335913328631,14,66,8850782.52,7.108671944797722e-06,CJT.TO
19,2025-03-19,69.4800033569336,71.75,68.62999725341797,71.18000030517578,803088.0,-0.1132310920767781,-1.0465113130727208,-1.5413062258045465,-1.7705451050897263,-1.891770678426752,14,56,78084815.9,1.371741125080145e-06,BAM.TO
17,2025-03-19,52.54999923706055,53.75,51.68000030517578,53.52999877929688,594799.0,0.025217879934326,-1.0411203685559725,-1.393435802231932,-1.4634491800679517,-1.5456079877225413,50,52,36473307.86,6.450792483538674e-07,ATZ.TO
3,2025-03-19,147.77000427246094,151.5,147.77000427246094,150.38999938964844,33950.0,-0.3075093616826517,-1.4750149719697192,-1.609549051592545,-1.762398380016838,-1.596855333279395,8,56,11325269.34,2.6056588453007865e-08,GSY.TO
97,2025-03-19,142.0,147.67999267578125,139.74000549316406,145.50999450683594,2783017.0,-0.1197583235362924,-1.9690901562683567,-1.0467771365215892,-1.7653977958319416,-1.5162316245728311,34,50,303621311.51,1.4588025514771272e-14,SHOP.TO
5,2025-03-19,125.0,133.25,123.38999938964844,131.77999877929688,550490.0,-0.0876588737693557,-2.438293302148805,-1.0630315598292426,-1.2092298628967535,-0.9818220116835602,86,81,141082745.54,3.238160393881311e-18,CLS.TO
15,2025-03-19,,,,,,,,,,,39,0,2976563.58,,SFTC.TO
62,2025-03-19,27.149999618530277,27.899999618530277,26.790000915527344,27.26000022888184,823837.0,,-0.2393780500368964,,,,8,32,30025009.06,,NVDA.TO
